;Seasonal cumulation of Z-scored aggregated data for eMODIS of Kenyan divisions and Ethiopian woredas
adminID, pixels,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L,2011S,2012L,2012S,2013L,2013S
76,9222,3.99317,-2.79411,-0.534177,9.93087,5.30594,1.00257,1.71289,5.07849,3.64075,-9.55004,0.148965,13.1853,9.62713,7.04795,3.89603,-7.36199,-12.1789,-0.274816,7.69215,-13.5605,-23.2990,-0.472945,-25.5810,-7.01161,0.0433947,-8.05420
77,165487,-5.00610,-5.83862,-4.16575,14.1352,8.50631,-0.819035,5.49786,2.55014,1.75475,-8.84253,-6.39843,14.7844,14.4488,3.97266,8.50970,-8.18682,-14.7473,0.292660,7.33846,-11.5092,-15.7383,0.194631,-12.6353,-4.17293,-0.997258,-4.68685
78,51095,-6.06627,-5.24730,2.56483,3.70476,6.09112,-5.11640,-9.68896,3.23378,12.5123,-8.83342,-4.89871,12.7625,15.8747,-1.48300,-11.4039,1.92909,-15.1433,-4.63243,18.9733,-5.74626,-8.81513,15.8369,29.9982,14.6146,17.4099,-0.210281
79,26504,-17.1148,-15.4363,2.67668,5.16492,20.6191,1.90685,3.12945,13.7995,8.74270,-6.46968,-0.612226,6.36865,9.99575,-1.80920,-9.26919,1.00647,-17.7419,-2.69053,10.1615,-7.40367,-10.5871,17.6964,25.9136,4.92312,24.4061,3.47874
80,23272,-8.28981,-11.0870,4.84165,0.289981,15.9789,3.10520,-1.34254,0.865914,-8.28170,-10.8302,-3.59661,-2.73186,10.1208,7.28612,-8.22497,6.47444,-12.5698,0.571678,17.6156,-2.61164,-6.25155,23.5095,15.8077,2.56517,17.8973,3.00279
81,112884,-12.7525,-7.39424,-0.319257,5.73938,8.92009,-4.55552,-7.58333,0.541472,9.59942,-10.4126,-7.80415,14.4008,25.7857,1.91702,-8.35053,2.80312,-10.4225,0.290749,16.3918,-9.15100,-13.4648,11.6967,20.6679,8.44666,12.6187,-3.89788
82,74726,-10.5190,-1.79227,1.38809,0.611299,4.88722,-7.54059,-10.5516,0.000888079,8.21319,-10.3557,-8.52403,17.0270,19.1710,1.19435,-8.53965,5.26453,-16.8080,-1.30966,21.3299,-8.97721,-0.0471072,11.1298,22.1924,13.2657,14.8979,1.26908
83,58669,-4.13632,-3.51832,-5.88469,-4.92497,-1.66576,-5.19720,-2.35233,-2.33977,2.96159,-5.11283,-7.97662,9.90441,14.5674,1.84176,-6.29660,4.36221,-16.5215,2.00163,20.0816,-6.76948,7.22327,16.0605,17.4203,5.79259,11.7762,2.52359
84,73297,-11.5547,-12.2464,-2.50836,-3.96223,4.32739,-5.14301,-5.67870,2.57483,1.77582,-8.36810,-9.17447,11.9615,23.4272,5.13092,-5.69728,6.39903,-12.5910,1.92343,22.9547,-4.56255,-5.28086,14.8760,15.8446,9.20415,18.7185,2.03210
85,92731,-6.72876,-9.10932,0.159045,-3.28648,-1.37931,-4.03987,-1.80969,-3.83515,-4.89895,-9.52842,-6.68521,6.56265,16.6626,4.89487,-4.97554,7.76101,-14.2554,4.69604,19.9807,-4.08187,3.93033,20.9167,23.4832,7.52659,17.6983,5.37216
86,25225,-14.1140,-15.2218,-9.37212,4.86974,13.4727,-5.37152,-7.21415,7.30903,9.28787,-10.8797,-2.54347,7.47238,18.4224,2.49710,-5.15420,5.04788,-11.4292,2.12814,20.1077,-6.55871,-11.4637,12.9928,24.8133,8.88809,15.1178,-3.61491
87,112898,-7.04468,3.06772,0.813318,6.10088,0.0315146,-9.84936,-10.1173,-3.36134,4.38493,-9.41882,-7.90244,17.2704,27.4942,0.279764,-5.77810,3.32128,-7.51592,-2.68064,13.9490,-7.39341,-8.31455,8.89375,27.6954,20.0389,18.7946,0.262178
88,47321,-9.43419,-5.96108,-3.36924,-5.37581,3.24796,-6.43119,-12.5301,-0.957789,1.41083,-9.93520,-12.9523,15.9864,21.2598,2.62468,-3.37303,5.44045,-10.0676,2.53981,23.1285,-6.58567,2.67944,17.6449,26.1107,15.8333,27.0913,12.1400
89,33785,-11.1793,-10.6705,-0.396586,7.21844,20.5414,2.18513,-8.92793,6.48719,8.24894,-9.26936,-5.60473,8.67226,20.5470,-0.993890,-9.73892,-5.13673,-14.6888,1.04037,16.7327,-7.31970,-15.5338,14.3398,18.1804,1.89252,2.99270,-4.15185
90,47801,-11.4204,-13.8066,0.426791,-0.878978,3.64057,-6.44480,-2.78564,-2.42957,-7.32714,-7.08911,-2.79635,5.50570,19.3702,7.83359,-1.98125,11.6705,-12.8560,5.47378,18.6925,-5.99553,-2.96321,16.8215,10.3233,2.58495,12.9190,1.20689
91,77559,-9.67352,1.87581,1.93570,8.75953,-1.87245,-6.72281,-7.90249,-6.93665,0.332234,-12.4260,-6.52010,17.7698,34.9431,2.09334,-4.20523,-0.0876389,-10.8944,-2.26443,16.6556,-10.0342,-12.7985,15.6793,22.6544,9.81928,4.88523,-3.81527
92,10188,-15.8906,-14.8013,5.84376,1.45193,21.3414,5.00070,0.349307,6.03615,-0.580853,-7.00539,-5.83250,7.14586,12.6955,0.447017,-9.44244,-1.51044,-15.6221,-3.18265,16.8814,-3.88031,-9.74289,23.3683,12.1428,3.15051,14.9202,2.37357
93,22744,-2.43514,-5.84859,-9.67614,-8.80373,-2.34927,-9.06602,-7.23070,-3.27268,-4.88107,-7.99844,-9.78809,12.0618,27.1131,5.32196,-1.10674,8.97953,-16.5710,6.84307,22.9900,-5.48007,3.93515,16.9340,24.2473,13.1859,27.7914,10.8497
94,16650,-1.22149,-10.1817,-7.24315,-5.17816,0.149281,-7.77258,-5.61564,-3.86845,-8.37992,-10.0403,-12.0562,9.53074,23.9772,7.83965,-7.14144,9.92633,-12.6714,6.77273,24.8040,-4.40638,5.39862,16.3530,23.0764,4.93913,20.5002,8.44865
95,83440,1.04718,-7.59739,10.7424,2.43542,11.4422,-3.78725,-1.89111,3.00744,-11.6586,-12.5075,2.50750,28.6286,16.9662,-0.357132,5.44638,-0.632134,-13.4332,-1.84591,-2.23946,-12.6278,-18.9295,15.7404,8.34385,0.837282,38.7951,0.963046
