COUNTRY,PROVINCE,DISTRICT,DIVI_WOR,IBLI_UNIT,IBLI_ID,Aug/Sep2014,,,,,Jan/Feb2014,,,,,Aug/Sep2013,,,,,Jan/Feb2013,,,,,Aug/Sep2012,,,,,Jan/Feb2012,,,,
,,,,,,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate
KENYA,NORTH EASTERN,MANDERA,WARGADUD,WARGADUD,46,0.0445,0.05654,0.07894,0.09085,0.10416,0.04578,0.05715,0.07794,0.09243,0.10278,0.04578,0.05715,0.07794,0.09243,0.10278,0.04714,0.0549,0.07723,0.09075,0.105,0.04714,0.0549,0.07723,0.09075,0.105,0.04858,0.05614,0.07665,0.0935,0.10734
KENYA,NORTH EASTERN,MANDERA,WARANKARA,WARANKARA,47,0.03786,0.05228,0.05881,0.0886,0.10177,0.03889,0.05382,0.06009,0.09013,0.10083,0.03889,0.05382,0.06009,0.09013,0.10083,0.04,0.05213,0.06144,0.0884,0.10284,0.04,0.05213,0.06144,0.0884,0.10284,0.04138,0.05223,0.06288,0.08495,0.10495
KENYA,NORTH EASTERN,MANDERA,KOTULO,KOTULO (MANDERA),48,0.06017,0.08261,0.09943,0.11142,0.1278,0.06133,0.084,0.10112,0.11431,0.13271,0.06133,0.084,0.10112,0.11431,0.13271,0.06253,0.08208,0.10293,0.11405,0.13108,0.06253,0.08208,0.10293,0.11405,0.13108,0.06396,0.08297,0.10479,0.11707,0.13054
KENYA,NORTH EASTERN,MANDERA,SHIMBIR FATUMA,SHIMBIR FATUMA,49,0.05655,0.06658,0.07273,0.08176,0.09469,0.05702,0.06856,0.07458,0.08389,0.09342,0.05702,0.06856,0.07458,0.08389,0.09342,0.05743,0.06735,0.07653,0.08286,0.09482,0.05743,0.06735,0.07653,0.08286,0.09482,0.05774,0.06966,0.07859,0.0854,0.09625
KENYA,NORTH EASTERN,MANDERA,RHAMU DIMTU,RHAMU DIMTU,50,0.07811,0.09011,0.10482,0.1246,0.14627,0.07878,0.0929,0.10487,0.12286,0.1468,0.07878,0.0929,0.10487,0.12286,0.1468,0.07901,0.09255,0.10466,0.11855,0.15099,0.07901,0.09255,0.10466,0.11855,0.15099,0.07852,0.09501,0.10604,0.12219,0.15545
KENYA,NORTH EASTERN,MANDERA,LAFEY,LAFEY,51,0.04617,0.05887,0.07173,0.11712,0.13995,0.04747,0.05913,0.07364,0.11512,0.13994,0.04747,0.05913,0.07364,0.11512,0.13994,0.04886,0.05666,0.07568,0.10901,0.14337,0.04886,0.05666,0.07568,0.10901,0.14337,0.05034,0.05806,0.07785,0.10532,0.14701
KENYA,NORTH EASTERN,MANDERA,KHALALIO,KHALALIO,52,0.06719,0.07702,0.08825,0.12029,0.13996,0.06849,0.07911,0.08987,0.12277,0.13843,0.06849,0.07911,0.08987,0.12277,0.13843,0.06982,0.07799,0.09156,0.12206,0.13949,0.06982,0.07799,0.09156,0.12206,0.13949,0.07117,0.08058,0.09331,0.12019,0.1412
KENYA,NORTH EASTERN,MANDERA,TAKABA,TAKABA,53,0.04737,0.07385,0.0852,0.09707,0.10398,0.04885,0.07467,0.08789,0.10019,0.10365,0.04885,0.07467,0.08789,0.10019,0.10365,0.05042,0.07212,0.09075,0.10018,0.10703,0.05042,0.07212,0.09075,0.10018,0.10703,0.0521,0.07183,0.09382,0.10219,0.11064
KENYA,EASTERN,MOYALE,CENTRAL,CENTRAL MOYALE,60,0.05944,0.07084,0.09729,0.12747,0.13726,0.06016,0.07214,0.09695,0.131,0.13975,0.06016,0.07214,0.09695,0.131,0.13975,0.06085,0.07014,0.09642,0.13056,0.14385,0.06085,0.07014,0.09642,0.13056,0.14385,0.06148,0.07253,0.09667,0.12958,0.14821
KENYA,EASTERN,MOYALE,GOLBO,GOLBO,61,0.06102,0.07212,0.08523,0.0967,0.10963,0.06276,0.07338,0.08783,0.09918,0.10869,0.06276,0.07338,0.08783,0.09918,0.10869,0.06477,0.07149,0.09061,0.09847,0.11042,0.06477,0.07149,0.09061,0.09847,0.11042,0.06692,0.07373,0.09358,0.10083,0.11238
