adminID, pixels,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L,2011S,2012L,2012S,2013L,2013S
55,157632,5.20449,-5.63123,2.56955,2.99522,10.0549,-2.83625,5.06376,0.222922,-7.22258,-12.4268,0.832250,18.1787,14.9194,2.50775,-3.28365,4.63172,-19.3275,-3.36030,8.88129,-9.97677,-17.6920,10.8420,6.40228,-1.22841,2.84842,-2.89569
56,251462,-8.75525,-8.26493,0.778426,1.74969,20.0225,0.363078,-1.18143,2.95914,-3.20341,-12.3419,-5.53005,11.4028,17.7900,-1.33279,-4.49329,6.61771,-15.9214,0.717191,17.4946,-9.04473,-17.0006,12.9654,-3.57360,-4.30047,1.99154,-4.74876
57,121107,5.19462,2.45875,12.3665,3.02213,20.1282,-0.957706,1.95825,0.995550,-4.47475,-12.5487,-4.81016,21.6622,11.0745,1.01653,-6.63016,-3.31157,-19.0740,-3.91535,2.54902,-11.9491,-18.2821,8.78326,-0.653633,-1.09207,3.78416,1.12343
58,8552,-0.464465,-3.79833,9.22312,4.31124,16.8219,-1.66685,12.6697,2.99895,1.77371,-11.4102,1.40485,20.9572,6.43295,3.14328,0.937100,3.28389,-21.2605,-0.964568,-2.76075,-16.0670,-24.7777,10.7113,22.0870,2.00401,30.4969,5.54755
59,280093,8.22271,-2.68362,8.93599,4.54227,15.1637,-0.580580,0.711866,1.74426,-4.13769,-11.2577,-0.869122,15.4077,3.43342,-2.92539,0.380675,4.69057,-16.7776,-3.55538,3.13462,-10.4941,-18.1987,16.7310,3.65091,-4.68660,18.1096,1.76313
60,6391,-1.20433,-9.72701,2.56208,4.23279,9.01534,-1.08630,-7.25191,4.27653,-10.1042,-14.2554,13.4035,26.1847,15.0232,2.65145,1.47716,3.48037,-7.57960,-4.43000,11.1888,-12.2415,-26.5300,9.51038,-1.55986,2.10683,16.4662,-7.88931
61,39849,6.12325,-7.99252,7.87173,5.85110,8.52515,-0.939000,3.38048,6.69094,-10.7353,-13.2548,7.35779,26.4430,12.1515,-2.27748,3.16808,-1.56536,-14.0147,-2.25190,-0.414571,-14.1514,-23.4134,8.41452,-6.62130,0.471719,32.9002,-2.79362
62,48732,7.33710,-4.20562,13.9012,8.99550,15.7426,-0.123012,0.0792202,1.50363,-5.86890,-13.4050,-3.51748,17.3704,5.37382,-1.34002,3.91142,4.36169,-12.8574,-0.839644,-0.396766,-15.0919,-23.7048,7.81921,-7.21908,-4.48598,24.5122,-2.68333
63,38515,5.11056,-7.05880,10.8991,8.23706,12.1203,-1.26340,-4.57278,2.98553,-9.26507,-12.9316,10.2919,25.2840,5.68390,-2.11344,0.0772751,0.759458,-12.3615,-2.33835,2.78417,-13.7040,-20.7679,11.2085,-5.26614,-1.05901,28.3750,-2.80873
64,56299,-7.32960,-7.01222,0.791449,0.428333,6.58972,-1.38934,2.59405,2.44769,3.09994,-9.57860,-2.14655,13.6509,18.4250,2.11524,-9.09997,3.18807,-18.8098,-2.67292,13.2815,-13.2178,-7.39561,13.8094,10.2406,6.87195,5.69337,2.93585
65,69624,-11.4879,-9.80293,9.59770,6.64423,23.6338,1.25688,3.73863,12.4399,3.75936,-12.9240,-6.17863,18.6907,14.2451,4.42035,1.68020,0.753490,-21.4234,-5.56905,4.80742,-15.3962,-22.3723,2.05102,-7.90599,-0.435534,-1.75696,-3.46013
66,71496,-8.25623,-5.59685,5.95009,4.23862,15.6727,3.08193,5.42278,9.50816,-0.767292,-12.4798,-7.60902,13.3783,20.0047,4.82441,-2.76039,-0.750547,-25.2638,-1.68912,11.7892,-18.3863,-14.1827,5.50507,1.52671,3.48361,-1.03939,-2.77925
67,40176,-2.42869,-7.57508,9.90222,2.67211,7.57359,-2.13067,3.19722,2.94151,-5.89980,-13.3123,-1.11171,16.0436,15.5979,1.40003,-6.80050,6.02986,-17.5752,-1.41761,10.8927,-13.3861,-13.3477,13.0132,13.1208,3.88005,5.53755,2.16412
68,18763,-3.25537,-7.72956,0.768041,-3.37396,9.57380,5.75122,0.379517,0.514081,-2.27945,-11.1317,-8.50970,11.7492,13.1386,6.11007,-2.27761,0.824410,-30.3486,-3.06291,24.0038,-9.12083,-1.19292,17.2272,21.1494,12.6954,22.0094,4.01930
69,36331,-0.787796,-3.98370,0.262184,-6.84151,6.44433,1.89184,0.759889,0.889952,1.15721,-9.89252,-4.27141,11.4559,11.7944,6.90169,-4.17473,1.67531,-25.7172,-4.95214,19.0176,-8.33176,-4.48449,14.9863,16.2481,12.2680,17.1943,5.73065
70,41817,2.88205,0.910713,-3.12559,13.1537,7.48451,-0.405272,0.520071,-2.48131,-2.68324,-11.5012,-7.08642,16.3120,22.2459,4.63433,9.03110,-8.57996,-20.7658,-5.01050,6.25492,-7.92183,-14.7574,-2.63022,-9.76630,-6.11093,-4.72265,-1.43261
